"ATRIA-X Audit Readiness Report"
"Generated","2026-08-18T04:08:41.897Z"

"Agency Information"
"Name","Diego's Agency"
"EIN","12-3456789"
"Address","750 N CAPITOL AVE, STE A3, SAN JOSE, CA 95133"
"Branches","ILS - Independent Living Services; SLS - Supported Living Services"

"Personnel Roster"
"Name","Credential Status","Missing Credentials","Expired Credentials","Overridden Credentials"
"Hugo Sanchez","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Juan Carlos Osorio","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Serena Williams","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Lionel Messi","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Mikel Merino","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Elvis Presley","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Jayne Pool","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Carlos Vives","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Carlos Vela","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Julian Quinones","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Fabian Ruiz","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Borja Iglesias","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Thierry Henry","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Zinedine Zidane","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Nico Williams","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"E2E Coordinator","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Antonio Valencia","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Rafael Marquez","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Marco Fabian","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Nicolas Nemeth","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Mo Salah","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"James Rodriguez","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Arturo Vidal","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Luis Romo","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Orbelin Pineda","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Cesar Montes","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Mateo Chavez","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Jesus Gallardo","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Guillermo Ochoa","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Jesus Corona","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Moises Munoz","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Diego Molina","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Peter Parker","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Barack Obama","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""

"Background Checks"
"Status","Count"
"Clear","741"
"Pending","4"
"Consider","0"
"Other","79"

"Training"
"Metric","Count"
"Completed","2"
"Pending","211"
"Expiring within 30 days","0"

"Documentation"
"Metric","Count"
"Total Shifts","4"
"Shifts With Notes","0"
"Shifts Without Notes","4"

"Billing"
"Metric","Count"
"Blocked Billing Lines","0"
"Evidence-Complete Billing Lines","0 of 41"

"Compliance Gaps"
"Employee","Missing","Expired"
"Hugo Sanchez","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Juan Carlos Osorio","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Serena Williams","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Lionel Messi","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Mikel Merino","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Elvis Presley","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Jayne Pool","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Carlos Vives","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Carlos Vela","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Julian Quinones","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Fabian Ruiz","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Borja Iglesias","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Thierry Henry","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Zinedine Zidane","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Nico Williams","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"E2E Coordinator","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
